"Step","half cheetah leg weight - valid_returns","half cheetah leg weight - valid_returns__MIN","half cheetah leg weight - valid_returns__MAX"
"372","176.5127410888672","176.5127410888672","176.5127410888672"
"373","177.5135498046875","177.5135498046875","177.5135498046875"
"374","176.70892333984375","176.70892333984375","176.70892333984375"
"375","177.56033325195312","177.56033325195312","177.56033325195312"
"376","177.86671447753906","177.86671447753906","177.86671447753906"
"377","177.14064025878906","177.14064025878906","177.14064025878906"
"378","177.54710388183594","177.54710388183594","177.54710388183594"
"379","176.4507293701172","176.4507293701172","176.4507293701172"
"380","178.35073852539062","178.35073852539062","178.35073852539062"
"381","177.96456909179688","177.96456909179688","177.96456909179688"
"382","177.5078125","177.5078125","177.5078125"
"383","178.30624389648438","178.30624389648438","178.30624389648438"
"384","178.03009033203125","178.03009033203125","178.03009033203125"
"385","177.2578582763672","177.2578582763672","177.2578582763672"
"386","178.30894470214844","178.30894470214844","178.30894470214844"
"387","178.44393920898438","178.44393920898438","178.44393920898438"
"388","178.12484741210938","178.12484741210938","178.12484741210938"
"389","178.04144287109375","178.04144287109375","178.04144287109375"
"390","178.18417358398438","178.18417358398438","178.18417358398438"
"391","179.2122039794922","179.2122039794922","179.2122039794922"
"392","178.9208221435547","178.9208221435547","178.9208221435547"
"393","179.5435333251953","179.5435333251953","179.5435333251953"
"394","179.79888916015625","179.79888916015625","179.79888916015625"
"395","179.3397674560547","179.3397674560547","179.3397674560547"
"396","179.4582061767578","179.4582061767578","179.4582061767578"
"397","179.7550048828125","179.7550048828125","179.7550048828125"
"398","179.51124572753906","179.51124572753906","179.51124572753906"
"399","179.08128356933594","179.08128356933594","179.08128356933594"
"400","179.0360565185547","179.0360565185547","179.0360565185547"
"401","180.21617126464844","180.21617126464844","180.21617126464844"
"402","180.08773803710938","180.08773803710938","180.08773803710938"
"403","179.9385986328125","179.9385986328125","179.9385986328125"
"404","179.8796844482422","179.8796844482422","179.8796844482422"
"405","180.22503662109375","180.22503662109375","180.22503662109375"
"406","180.5611572265625","180.5611572265625","180.5611572265625"
"407","180.45974731445312","180.45974731445312","180.45974731445312"
"408","180.74656677246094","180.74656677246094","180.74656677246094"
"409","180.40167236328125","180.40167236328125","180.40167236328125"
"410","180.96273803710938","180.96273803710938","180.96273803710938"
"411","180.29769897460938","180.29769897460938","180.29769897460938"
"412","180.40492248535156","180.40492248535156","180.40492248535156"
"413","180.67503356933594","180.67503356933594","180.67503356933594"
"414","181.67849731445312","181.67849731445312","181.67849731445312"
"415","180.83641052246094","180.83641052246094","180.83641052246094"
"416","180.72601318359375","180.72601318359375","180.72601318359375"
