"Step","ctrl_cost 0.5 ant leg weight 1 - valid_returns","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MAX"
"137","-18.33718490600586","-18.33718490600586","-18.33718490600586"
"138","-18.232498168945312","-18.232498168945312","-18.232498168945312"
"139","-18.824962615966797","-18.824962615966797","-18.824962615966797"
"140","-19.33441162109375","-19.33441162109375","-19.33441162109375"
"141","-17.857074737548828","-17.857074737548828","-17.857074737548828"
"142","-18.884366989135742","-18.884366989135742","-18.884366989135742"
"143","-19.5378360748291","-19.5378360748291","-19.5378360748291"
"144","-18.273496627807617","-18.273496627807617","-18.273496627807617"
"145","-18.038583755493164","-18.038583755493164","-18.038583755493164"
"146","-17.95708656311035","-17.95708656311035","-17.95708656311035"
"147","-18.524385452270508","-18.524385452270508","-18.524385452270508"
"148","-17.726879119873047","-17.726879119873047","-17.726879119873047"
"149","-17.282386779785156","-17.282386779785156","-17.282386779785156"
"150","-18.045726776123047","-18.045726776123047","-18.045726776123047"
"151","-18.104358673095703","-18.104358673095703","-18.104358673095703"
"152","-18.00051498413086","-18.00051498413086","-18.00051498413086"
"153","-17.452198028564453","-17.452198028564453","-17.452198028564453"
"154","-17.759933471679688","-17.759933471679688","-17.759933471679688"
"155","-16.902606964111328","-16.902606964111328","-16.902606964111328"
"156","-18.7360897064209","-18.7360897064209","-18.7360897064209"
"157","-16.97174644470215","-16.97174644470215","-16.97174644470215"
"158","-17.085081100463867","-17.085081100463867","-17.085081100463867"
"159","-16.90105628967285","-16.90105628967285","-16.90105628967285"
"160","-16.84296989440918","-16.84296989440918","-16.84296989440918"
"161","-16.566869735717773","-16.566869735717773","-16.566869735717773"
"162","-16.48578643798828","-16.48578643798828","-16.48578643798828"
"163","-15.99310302734375","-15.99310302734375","-15.99310302734375"
"164","-16.47390365600586","-16.47390365600586","-16.47390365600586"
"165","-16.04989242553711","-16.04989242553711","-16.04989242553711"
"166","-16.461671829223633","-16.461671829223633","-16.461671829223633"
"167","-16.026077270507812","-16.026077270507812","-16.026077270507812"
"168","-16.143770217895508","-16.143770217895508","-16.143770217895508"
"169","-16.614459991455078","-16.614459991455078","-16.614459991455078"
"170","-15.905089378356934","-15.905089378356934","-15.905089378356934"
"171","-16.83222198486328","-16.83222198486328","-16.83222198486328"
"172","-16.02910804748535","-16.02910804748535","-16.02910804748535"
"173","-15.877697944641113","-15.877697944641113","-15.877697944641113"
"174","-15.953350067138672","-15.953350067138672","-15.953350067138672"
"175","-15.638960838317871","-15.638960838317871","-15.638960838317871"
"176","-15.39047622680664","-15.39047622680664","-15.39047622680664"
"177","-15.195671081542969","-15.195671081542969","-15.195671081542969"
"178","-14.642334938049316","-14.642334938049316","-14.642334938049316"
"179","-15.363234519958496","-15.363234519958496","-15.363234519958496"
"180","-15.636563301086426","-15.636563301086426","-15.636563301086426"
"181","-13.697486877441406","-13.697486877441406","-13.697486877441406"
"182","-14.511313438415527","-14.511313438415527","-14.511313438415527"
"183","-14.366105079650879","-14.366105079650879","-14.366105079650879"
"184","-14.77099609375","-14.77099609375","-14.77099609375"
"185","-14.991337776184082","-14.991337776184082","-14.991337776184082"
"186","-14.062383651733398","-14.062383651733398","-14.062383651733398"
"187","-13.825591087341309","-13.825591087341309","-13.825591087341309"
"188","-13.735481262207031","-13.735481262207031","-13.735481262207031"
"189","-14.088885307312012","-14.088885307312012","-14.088885307312012"
"190","-14.374371528625488","-14.374371528625488","-14.374371528625488"
"191","-13.604211807250977","-13.604211807250977","-13.604211807250977"
"192","-15.022934913635254","-15.022934913635254","-15.022934913635254"
"193","-14.458266258239746","-14.458266258239746","-14.458266258239746"
"194","-13.846039772033691","-13.846039772033691","-13.846039772033691"
"195","-14.21701431274414","-14.21701431274414","-14.21701431274414"
"196","-13.545427322387695","-13.545427322387695","-13.545427322387695"
"197","-14.723919868469238","-14.723919868469238","-14.723919868469238"
"198","-13.528420448303223","-13.528420448303223","-13.528420448303223"
"199","-13.111275672912598","-13.111275672912598","-13.111275672912598"
"200","-13.57830810546875","-13.57830810546875","-13.57830810546875"
"201","-13.324689865112305","-13.324689865112305","-13.324689865112305"
"202","-13.902396202087402","-13.902396202087402","-13.902396202087402"
"203","-13.172263145446777","-13.172263145446777","-13.172263145446777"
