"Step","ctrl_cost 0.5 ant box weight 1 - valid_returns","ctrl_cost 0.5 ant box weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant box weight 1 - valid_returns__MAX"
"261","-145.14627075195312","-145.14627075195312","-145.14627075195312"
"262","-142.7524871826172","-142.7524871826172","-142.7524871826172"
"263","-141.50836181640625","-141.50836181640625","-141.50836181640625"
"264","-145.67343139648438","-145.67343139648438","-145.67343139648438"
"265","-143.9940948486328","-143.9940948486328","-143.9940948486328"
"266","-142.27944946289062","-142.27944946289062","-142.27944946289062"
"267","-143.9552764892578","-143.9552764892578","-143.9552764892578"
"268","-142.34616088867188","-142.34616088867188","-142.34616088867188"
"269","-144.36460876464844","-144.36460876464844","-144.36460876464844"
"270","-143.6248016357422","-143.6248016357422","-143.6248016357422"
"271","-142.0874786376953","-142.0874786376953","-142.0874786376953"
"272","-143.55784606933594","-143.55784606933594","-143.55784606933594"
"273","-142.7200927734375","-142.7200927734375","-142.7200927734375"
"274","-141.60739135742188","-141.60739135742188","-141.60739135742188"
"275","-140.53994750976562","-140.53994750976562","-140.53994750976562"
"276","-142.6970672607422","-142.6970672607422","-142.6970672607422"
"277","-140.18756103515625","-140.18756103515625","-140.18756103515625"
"278","-141.22874450683594","-141.22874450683594","-141.22874450683594"
"279","-142.27304077148438","-142.27304077148438","-142.27304077148438"
"280","-141.4230499267578","-141.4230499267578","-141.4230499267578"
"281","-139.00592041015625","-139.00592041015625","-139.00592041015625"
"282","-140.31158447265625","-140.31158447265625","-140.31158447265625"
"283","-139.73565673828125","-139.73565673828125","-139.73565673828125"
"284","-140.10308837890625","-140.10308837890625","-140.10308837890625"
"285","-142.64988708496094","-142.64988708496094","-142.64988708496094"
"286","-140.5111846923828","-140.5111846923828","-140.5111846923828"
"287","-142.24826049804688","-142.24826049804688","-142.24826049804688"
"288","-139.634033203125","-139.634033203125","-139.634033203125"
"289","-139.38539123535156","-139.38539123535156","-139.38539123535156"
"290","-139.38552856445312","-139.38552856445312","-139.38552856445312"
"291","-140.45216369628906","-140.45216369628906","-140.45216369628906"
"292","-137.12770080566406","-137.12770080566406","-137.12770080566406"
"293","-141.13816833496094","-141.13816833496094","-141.13816833496094"
"294","-137.18031311035156","-137.18031311035156","-137.18031311035156"
"295","-140.22735595703125","-140.22735595703125","-140.22735595703125"
"296","-139.22030639648438","-139.22030639648438","-139.22030639648438"
"297","-139.7959442138672","-139.7959442138672","-139.7959442138672"
"298","-137.9907684326172","-137.9907684326172","-137.9907684326172"
"299","-138.91921997070312","-138.91921997070312","-138.91921997070312"
"300","-138.61488342285156","-138.61488342285156","-138.61488342285156"
"301","-138.42405700683594","-138.42405700683594","-138.42405700683594"
"302","-137.45323181152344","-137.45323181152344","-137.45323181152344"
"303","-136.76890563964844","-136.76890563964844","-136.76890563964844"
"304","-136.54342651367188","-136.54342651367188","-136.54342651367188"
"305","-135.47930908203125","-135.47930908203125","-135.47930908203125"
"306","-134.89999389648438","-134.89999389648438","-134.89999389648438"
"307","-136.2528076171875","-136.2528076171875","-136.2528076171875"
"308","-134.7504119873047","-134.7504119873047","-134.7504119873047"
"309","-133.53269958496094","-133.53269958496094","-133.53269958496094"
"310","-134.23617553710938","-134.23617553710938","-134.23617553710938"
"311","-134.72406005859375","-134.72406005859375","-134.72406005859375"
"312","-132.85414123535156","-132.85414123535156","-132.85414123535156"
"313","-133.54995727539062","-133.54995727539062","-133.54995727539062"
"314","-133.15184020996094","-133.15184020996094","-133.15184020996094"
"315","-132.597412109375","-132.597412109375","-132.597412109375"
"316","-132.0523681640625","-132.0523681640625","-132.0523681640625"
"317","-131.8772430419922","-131.8772430419922","-131.8772430419922"
"318","-131.47064208984375","-131.47064208984375","-131.47064208984375"
"319","-131.89306640625","-131.89306640625","-131.89306640625"
"320","-130.4613037109375","-130.4613037109375","-130.4613037109375"
"321","-129.22865295410156","-129.22865295410156","-129.22865295410156"
"322","-130.33267211914062","-130.33267211914062","-130.33267211914062"
"323","-129.5335693359375","-129.5335693359375","-129.5335693359375"
"324","-128.88771057128906","-128.88771057128906","-128.88771057128906"
"325","-129.54165649414062","-129.54165649414062","-129.54165649414062"
"326","-132.5931854248047","-132.5931854248047","-132.5931854248047"
"327","-128.1311492919922","-128.1311492919922","-128.1311492919922"
"328","-127.27605438232422","-127.27605438232422","-127.27605438232422"
"329","-125.59681701660156","-125.59681701660156","-125.59681701660156"
"330","-125.58443450927734","-125.58443450927734","-125.58443450927734"
"331","-127.74103546142578","-127.74103546142578","-127.74103546142578"
"332","-126.27295684814453","-126.27295684814453","-126.27295684814453"
"333","-126.51045989990234","-126.51045989990234","-126.51045989990234"
"334","-126.63470458984375","-126.63470458984375","-126.63470458984375"
"335","-124.36064147949219","-124.36064147949219","-124.36064147949219"
"336","-125.12179565429688","-125.12179565429688","-125.12179565429688"
"337","-124.94506072998047","-124.94506072998047","-124.94506072998047"
"338","-123.98597717285156","-123.98597717285156","-123.98597717285156"
"339","-124.630615234375","-124.630615234375","-124.630615234375"
"340","-122.09712219238281","-122.09712219238281","-122.09712219238281"
"341","-123.48670959472656","-123.48670959472656","-123.48670959472656"
"342","-119.9617691040039","-119.9617691040039","-119.9617691040039"
"343","-122.8016128540039","-122.8016128540039","-122.8016128540039"
"344","-122.82384490966797","-122.82384490966797","-122.82384490966797"
"345","-121.13119506835938","-121.13119506835938","-121.13119506835938"
"346","-121.94043731689453","-121.94043731689453","-121.94043731689453"
"347","-120.42945098876953","-120.42945098876953","-120.42945098876953"
"348","-119.70519256591797","-119.70519256591797","-119.70519256591797"
"349","-119.94684600830078","-119.94684600830078","-119.94684600830078"
"350","-118.82261657714844","-118.82261657714844","-118.82261657714844"
"351","-118.95775604248047","-118.95775604248047","-118.95775604248047"
"352","-119.36495971679688","-119.36495971679688","-119.36495971679688"
"353","-119.59005737304688","-119.59005737304688","-119.59005737304688"
"354","-117.33667755126953","-117.33667755126953","-117.33667755126953"
"355","-116.97607421875","-116.97607421875","-116.97607421875"
"356","-117.35882568359375","-117.35882568359375","-117.35882568359375"
"357","-118.91519165039062","-118.91519165039062","-118.91519165039062"
"358","-115.79610443115234","-115.79610443115234","-115.79610443115234"
"359","-117.49103546142578","-117.49103546142578","-117.49103546142578"
"360","-115.76577758789062","-115.76577758789062","-115.76577758789062"
"361","-117.03244018554688","-117.03244018554688","-117.03244018554688"
"362","-115.91276550292969","-115.91276550292969","-115.91276550292969"
"363","-114.8827896118164","-114.8827896118164","-114.8827896118164"
"364","-115.35089874267578","-115.35089874267578","-115.35089874267578"
"365","-114.55841827392578","-114.55841827392578","-114.55841827392578"
"366","-114.35456848144531","-114.35456848144531","-114.35456848144531"
"367","-113.0381851196289","-113.0381851196289","-113.0381851196289"
"368","-111.4109878540039","-111.4109878540039","-111.4109878540039"
"369","-110.43899536132812","-110.43899536132812","-110.43899536132812"
"370","-110.41915130615234","-110.41915130615234","-110.41915130615234"
"371","-110.73783111572266","-110.73783111572266","-110.73783111572266"
"372","-111.84626007080078","-111.84626007080078","-111.84626007080078"
"373","-109.45944213867188","-109.45944213867188","-109.45944213867188"
"374","-109.69792175292969","-109.69792175292969","-109.69792175292969"
"375","-108.27720642089844","-108.27720642089844","-108.27720642089844"
"376","-107.99581146240234","-107.99581146240234","-107.99581146240234"
"377","-109.58544921875","-109.58544921875","-109.58544921875"
"378","-106.40213012695312","-106.40213012695312","-106.40213012695312"
"379","-105.56060791015625","-105.56060791015625","-105.56060791015625"
